galaxy,snapshot,snap_int,time_Myr,ptype,xcom,ycom,zcom,vxcom,vycom
M31,318,318,4542.85713,1,0.0,0.0,0.0,0.0,0.0
M31,318,318,4542.85713,2,-43.750688995694404,116.54155131671172,-48.261742865725445,20.99270642262878,1.1301103862856228
M31,318,318,4542.85713,3,-43.762511125530295,116.21912374632873,-48.16021716261286,16.411265604000505,2.017215009690646
M31,319,319,4557.14285,1,-43.40518095238095,115.3025238095238,-48.08182380952381,1.4426460406320534,2.4935926851015813
M31,319,319,4557.14285,2,-43.48430981,115.4514431,-48.23381519,20.511762621156002,1.9755218833940893
M31,319,319,4557.14285,3,-43.53763014644761,115.21470092481776,-48.13257093004026,17.53789973543014,1.5161918300410246
M31,320,320,4571.42855,1,0.0,0.0,0.0,0.0,0.0
M31,320,320,4571.42855,2,-43.26741571912833,114.45943147699758,-48.17627008232446,20.792755777467615,2.731916091546364
M31,320,320,4571.42855,3,-43.3351304033961,114.21263109829107,-48.079322219767064,15.713594417481044,6.633714258440883
M31,321,321,4585.71428,1,0.0,0.0,0.0,0.0,0.0
M31,321,321,4585.71428,2,-43.00436549980552,113.5085580513419,-48.1522519739401,21.53044596168972,3.1154823273152465
M31,321,321,4585.71428,3,-43.0265696548418,113.43966985858101,-48.04324681208054,16.14778852598504,4.74320688554489
M31,322,322,4600.0,1,-42.509875,112.65675,-48.033975,13.853639920393979,3.5752224530706846
M31,322,322,4600.0,2,-42.77776429812705,112.58045684495076,-48.05163806719444,20.488406868501563,4.097878220978804
M31,322,322,4600.0,3,-42.79294006479482,112.5236059275258,-47.98831411087113,14.300244452522277,3.765855787748008
M31,323,323,4614.2857,1,0.0,0.0,0.0,0.0,0.0
M31,323,323,4614.2857,2,-42.52759477809254,111.6758372049103,-47.940446647780924,18.706906769037403,6.1280215277389125
M31,323,323,4614.2857,3,-42.07342662886741,111.60735322134178,-46.95816025254094,16.838475376621357,9.65019826500624
M31,324,324,4628.57142,1,-42.43453269230769,110.63759615384615,-47.142265384615385,8.430089925233647,7.265742667056075
M31,324,324,4628.57142,2,-42.37742081276111,110.83956902772503,-47.76987609191037,17.587873104158138,7.314890029883271
M31,324,324,4628.57142,3,-41.837212239197044,110.76094794189117,-46.828185637569995,16.291135722799655,12.981840869023877
M31,325,325,4642.85712,1,-42.3044,109.706,-47.2108,7.599691519047621,2.0190917369047616
M31,325,325,4642.85712,2,-42.20809591587644,110.02003530184959,-47.638950042249554,19.00237807695279,7.066242189412206
M31,325,325,4642.85712,3,-41.624892207606976,109.93978806212361,-46.683387405990494,13.090200786162114,10.96970012507806
M31,326,326,4657.14284,1,0.0,0.0,0.0,0.0,0.0
M31,326,326,4657.14284,2,-41.97688697738809,109.21529524688509,-47.449843913244116,19.609465257358487,9.075752292177594
M31,326,326,4657.14284,3,-41.43249277517169,109.1555955758056,-46.548815762873744,12.514978227868651,9.60125487184418
M31,327,327,4671.42857,1,-41.786575,108.34525000000001,-47.1398,12.430582083036777,2.702669742586001
M31,327,327,4671.42857,2,-41.82539012471132,108.4693023556582,-47.27076304849884,18.26137382581925,8.712411438137483
M31,327,327,4671.42857,3,-41.24184788716323,108.37429458922345,-46.403218909720024,12.120984051576189,13.475483937581942
M31,328,328,4685.71427,1,-41.58919183673469,107.55508163265306,-46.915485714285715,11.30235973501199,2.972675032374101
M31,328,328,4685.71427,2,-41.652709463780035,107.72803672238969,-47.084790326116746,18.341824062913638,10.309556601138425
M31,328,328,4685.71427,3,-41.05150811411516,107.641806180243,-46.22176854823032,11.162482547063986,15.485459596569433
M31,329,329,4699.99999,1,-41.0757,107.025,-46.4826,8.068242652912623,9.002552339199028
M31,329,329,4699.99999,2,-41.465581638571685,107.01910667029182,-46.859888825448614,17.932982890998005,9.99691215615017
M31,329,329,4699.99999,3,-40.86718533333333,106.9378551223983,-46.03947399154781,11.139280980030035,13.655804288388394
M31,330,330,4714.28571,1,-41.075,105.961,-47.0527,7.897411695857989,9.111088848520712
M31,330,330,4714.28571,2,-41.30808708768741,106.39285170377102,-46.68792956837801,17.64929175787304,11.320947985643455
M31,330,330,4714.28571,3,-40.68354396798732,106.27600010956154,-45.86227952921289,12.179193255130135,14.356398523736242
M31,331,331,4728.57141,1,0.0,0.0,0.0,0.0,0.0
M31,331,331,4728.57141,2,-41.09804730512249,105.76757256124722,-46.46037577728285,18.6227485913841,12.814029870807115
M31,331,331,4728.57141,3,-40.49161613257976,105.64288084967251,-45.70860017589267,13.786259031018986,15.989630959430574
M31,332,332,4742.85713,1,-40.5985,105.19,-46.7094,7.8877971123094985,10.459196302461905
M31,332,332,4742.85713,2,-40.89958955131053,105.17438667258996,-46.2212405330964,17.336585978220917,11.272101512545555
M31,332,332,4742.85713,3,-40.286407276780054,105.0210767732939,-45.50393619691528,13.026781159522566,15.73177796685415
