snapshot,snap_int,time_Myr,JacobiR,Mstar_bound,frac_bound
300,300,4285.71426,25.06323714023636,9292000000.000002,0.9991397849462366
301,301,4299.99999,25.29548993983454,9290000000.000002,0.9989247311827957
302,302,4314.28571,25.611330092741284,9289000000.000002,0.9988172043010752
303,303,4328.57141,25.984125239549783,9287000000.000004,0.9986021505376346
304,304,4342.85713,26.37747971109953,9286000000.000004,0.9984946236559142
305,305,4357.14285,26.823992750870282,9286000000.000004,0.9984946236559142
306,306,4371.42855,27.29872007735732,9285000000.000004,0.9983870967741938
307,307,4385.71428,27.780861205408716,9284000000.000004,0.9982795698924734
308,308,4400.0,28.281128794775512,9284000000.000004,0.9982795698924734
309,309,4414.2857,28.797047107267005,9281000000.000002,0.9979569892473118
310,310,4428.57142,29.368216370116528,9275000000.000004,0.9973118279569895
311,311,4442.85714,29.86577445529122,9275000000.000004,0.9973118279569895
312,312,4457.14284,30.419250670132204,9273000000.000002,0.9970967741935484
313,313,4471.42856,30.97906371735209,9271000000.000002,0.9968817204301075
314,314,4485.71427,31.52066182788535,9270000000.000002,0.9967741935483871
315,315,4499.99999,32.112037413588986,9269000000.000002,0.9966666666666667
316,316,4514.28571,32.720273725980455,9269000000.000002,0.9966666666666667
317,317,4528.57141,33.335383031044664,9267000000.000004,0.996451612903226
318,318,4542.85713,33.901879213077684,9266000000.000004,0.9963440860215056
319,319,4557.14285,34.45074947938023,9263000000.000004,0.9960215053763443
320,320,4571.42855,35.008233940958235,9261000000.000002,0.9958064516129033
321,321,4585.71428,35.581238355670926,9258000000.000004,0.9954838709677422
322,322,4600.0,36.154726933190744,9257000000.000004,0.9953763440860217
323,323,4614.2857,36.7225556008785,9255000000.000004,0.9951612903225808
324,324,4628.57142,37.26256007303195,9255000000.000004,0.9951612903225808
325,325,4642.85712,37.82715534192055,9255000000.000004,0.9951612903225808
326,326,4657.14284,38.38728247310933,9253000000.000002,0.9949462365591398
327,327,4671.42857,38.93066263124595,9253000000.000002,0.9949462365591398
328,328,4685.71427,39.483243842791154,9251000000.000002,0.9947311827956989
329,329,4699.99999,40.04330859603275,9251000000.000002,0.9947311827956989
330,330,4714.28571,40.5868488869313,9251000000.000002,0.9947311827956989
331,331,4728.57141,41.07258056049627,9249000000.000002,0.9945161290322581
332,332,4742.85713,41.60618350451667,9249000000.000002,0.9945161290322581
333,333,4757.14285,42.12656511158029,9248000000.000004,0.9944086021505378
334,334,4771.42856,42.89338965111983,9247000000.000004,0.9943010752688174
335,335,4785.71428,43.42156797515428,9247000000.000004,0.9943010752688174
336,336,4800.0,43.96905270996191,9247000000.000004,0.9943010752688174
337,337,4814.2857,44.21643324831682,9247000000.000004,0.9943010752688174
338,338,4828.57142,44.73739963232225,9246000000.000004,0.994193548387097
339,339,4842.85712,45.24149185657682,9246000000.000004,0.994193548387097
340,340,4857.14284,45.71009129568708,9246000000.000004,0.994193548387097
341,341,4871.42857,46.233743848140286,9246000000.000004,0.994193548387097
342,342,4885.71427,46.755913233067275,9246000000.000004,0.994193548387097
343,343,4899.99999,47.254867079236725,9245000000.000004,0.9940860215053765
344,344,4914.28571,47.7101042547715,9245000000.000004,0.9940860215053765
345,345,4928.57141,48.201157034440016,9245000000.000004,0.9940860215053765
346,346,4942.85713,48.7233384407287,9245000000.000004,0.9940860215053765
347,347,4957.14286,49.261288578663645,9245000000.000004,0.9940860215053765
348,348,4971.42856,49.76831612582226,9243000000.000004,0.9938709677419357
349,349,4985.71428,50.24615490288972,9243000000.000004,0.9938709677419357
350,350,4999.99998,50.72761374155032,9243000000.000004,0.9938709677419357
351,351,5014.2857,51.233682956726035,9243000000.000004,0.9938709677419357
352,352,5028.57142,51.69124562414022,9244000000.000004,0.9939784946236562
353,353,5042.85712,52.12134279346548,9244000000.000004,0.9939784946236562
354,354,5057.14285,52.573299860841246,9243000000.000004,0.9938709677419357
355,355,5071.42857,53.050165231271194,9244000000.000004,0.9939784946236562
356,356,5085.71427,53.475646488211495,9244000000.000004,0.9939784946236562
357,357,5099.99999,53.96189231203,9244000000.000004,0.9939784946236562
358,358,5114.28571,54.45715856191048,9243000000.000004,0.9938709677419357
359,359,5128.57141,54.950205331028535,9244000000.000004,0.9939784946236562
360,360,5142.85713,55.44513587054449,9244000000.000004,0.9939784946236562
