galaxy,snapshot,time_Myr,ptype,xcom,ycom,zcom,vxcom,vycom,vzcom
M33,149,2128.57142,2,-78.01232959666517,493.04562809824245,-54.90301604326273,167.98878387861456,-158.7474750605308,74.01017889223682
M33,149,2128.57142,3,0.0,0.0,0.0,0.0,0.0,0.0
M33,150,2142.85714,1,-75.50360273972603,491.3404794520548,-54.08778424657534,163.25020988195615,-163.25422040472176,71.57986794671164
M33,150,2142.85714,2,-75.6059090551181,490.7911084364454,-53.84512376827897,167.7371009906138,-158.28791737943678,72.69121553514941
M33,150,2142.85714,3,0.0,0.0,0.0,0.0,0.0,0.0
M33,151,2157.14284,1,-73.09079219858157,488.9999219858156,-52.9179829787234,160.52204262605753,-164.83117028764804,71.45671630693738
M33,151,2157.14284,2,-73.21006909706546,488.52551343115124,-52.8286927765237,166.6651446238619,-158.96348331790722,70.47098335280474
M33,151,2157.14284,3,0.0,0.0,0.0,0.0,0.0,0.0
M33,152,2171.42857,1,-70.99667142857143,486.1167142857143,-51.688478571428575,159.79977928547297,-163.80196972972976,70.13141819763514
M33,152,2171.42857,2,-70.85331887732005,486.2480284065188,-51.82517195563604,163.3208112151871,-160.2257937370294,68.34991786702199
M33,152,2171.42857,3,0.0,0.0,0.0,0.0,0.0,0.0
M33,153,2185.71427,1,-68.81279041095891,484.09703424657533,-50.861874657534244,158.14053786440678,-164.20994193220338,68.98413433728815
M33,153,2185.71427,2,-68.53323547619047,483.9563976190476,-50.86191709750567,160.32674233469254,-160.4575612722761,67.56120954319523
M33,153,2185.71427,3,0.0,0.0,0.0,0.0,0.0,0.0
M33,154,2199.99999,1,-66.08076666666666,481.7681333333333,-49.80261333333333,158.17559585448393,-163.72025639763112,65.70952469881557
M33,154,2199.99999,2,-66.2604658567049,481.66099988645396,-49.888590575678435,157.89518049384844,-161.10182846967402,67.56035506249188
M33,154,2199.99999,3,0.0,0.0,0.0,0.0,0.0,0.0
M33,155,2214.28571,1,-64.10992142857143,479.4655714285714,-48.978521428571426,155.2214143686007,-165.73140332764507,64.69225692150171
M33,155,2214.28571,2,-64.00798603777879,479.3531222121074,-48.91416873008648,156.47569594555551,-162.06786599029124,68.06739972902696
M33,155,2214.28571,3,0.0,0.0,0.0,0.0,0.0,0.0
M33,156,2228.57141,1,-61.605276595744684,476.74972340425535,-48.240227659574465,154.14736310924368,-164.8107347344538,65.34826566554622
M33,156,2228.57141,2,-61.78998796349116,477.0418011409013,-47.92784989161437,155.4610409571875,-164.3407627764477,68.27730050960854
M33,156,2228.57141,3,0.0,0.0,0.0,0.0,0.0,0.0
M33,157,2242.85713,1,-59.339,474.729,-47.160466666666665,152.3516330952381,-164.14075204081635,64.88511608316328
M33,157,2242.85713,2,-59.56146259009267,474.68552316668575,-46.96820975860886,154.1798361555723,-164.7043541417628,66.68069996184053
M33,157,2242.85713,3,0.0,0.0,0.0,0.0,0.0,0.0
M33,158,2257.14285,1,-57.03689459459459,472.2237972972973,-46.47416418918919,151.20332045189005,-165.94643236426114,65.50583956357389
M33,158,2257.14285,2,-57.374590566903834,472.3374449162268,-46.01514594904751,153.21669263136323,-164.94478510030197,65.96628681802878
