snapshot,time_Myr,bin_index,r_mid,sigma_rad,sigma_tan,sigma_z
479,6842.85713,18,18.5,153.72842614616144,185.21557065086904,35.518654631214346
479,6842.85713,19,19.5,164.82707498167156,148.2787463029336,47.44211655959803
480,6857.14285,0,0.5,174.3223203173811,213.02391547658183,65.79547667843163
480,6857.14285,1,1.5,154.25243988271637,218.6861484538892,60.66156985555691
480,6857.14285,2,2.5,141.40301861117814,224.37154266859253,63.02899389859114
480,6857.14285,3,3.5,138.99600253231924,221.4779352539158,66.71468010090784
480,6857.14285,4,4.5,128.5881442715867,229.33158626999645,62.677020998642234
480,6857.14285,5,5.5,127.01261515013266,229.11080049482757,58.66576066044634
480,6857.14285,6,6.5,122.50007830101242,227.48488194375574,52.682151069011304
480,6857.14285,7,7.5,142.5728430532063,220.92715186412528,53.974678667537866
480,6857.14285,8,8.5,142.61086382197894,217.5946392621348,47.79689264254959
480,6857.14285,9,9.5,138.91552748019376,213.4817681006439,40.78308088599655
480,6857.14285,10,10.5,128.72967765444713,226.32915981214595,38.74410932577335
480,6857.14285,11,11.5,133.4097611271026,220.82580863485506,45.564443697085075
480,6857.14285,12,12.5,117.67356370017819,230.92804566586216,36.10402599501896
480,6857.14285,13,13.5,141.6522161298233,204.509589932806,48.9169514002006
480,6857.14285,14,14.5,134.14294217765345,176.25647905680998,33.53596637916779
480,6857.14285,15,15.5,130.01520866735896,192.31385325478945,36.8854367883996
480,6857.14285,16,16.5,160.17474163920568,199.6777795302088,48.886983372521776
480,6857.14285,17,17.5,117.0871032903205,193.7460028831291,38.24002237034654
480,6857.14285,18,18.5,123.19813444251793,202.0910945048784,27.887236822161906
480,6857.14285,19,19.5,150.48925625791878,129.88449192809992,40.31021908222663
481,6871.42855,0,0.5,171.02086213992646,204.636920128541,68.63110327767838
481,6871.42855,1,1.5,151.55372056814505,216.69014202437873,60.645758795530575
481,6871.42855,2,2.5,146.1800732115733,217.2623074035322,63.51494561422672
481,6871.42855,3,3.5,132.54588136745087,221.54543196393863,64.78778048943104
481,6871.42855,4,4.5,123.21411257826533,228.39071368031475,63.793230654920755
481,6871.42855,5,5.5,122.17792144530611,226.77993999482402,57.597667487615524
481,6871.42855,6,6.5,124.1281291097115,222.5898090945785,55.09063940891082
481,6871.42855,7,7.5,139.29973200853965,219.04863235626235,50.25460910503356
481,6871.42855,8,8.5,131.80950439026503,219.26520604680206,50.6333059677023
481,6871.42855,9,9.5,127.8690433025658,217.87233411725026,44.16787752356258
481,6871.42855,10,10.5,134.99247688302225,214.86867440993828,35.623891636382425
481,6871.42855,11,11.5,126.85935959412666,216.72615678262932,45.47143771305436
481,6871.42855,12,12.5,128.4735338407432,218.04125543272454,41.875028949328616
481,6871.42855,13,13.5,133.6445682139018,206.66773522088815,33.08000394096581
481,6871.42855,14,14.5,127.23755214232197,202.75554841784046,35.87316858126874
481,6871.42855,15,15.5,130.28806592367002,191.2044852702945,40.66418702387403
481,6871.42855,16,16.5,137.1709480330016,188.92115415338873,46.78301378581237
481,6871.42855,17,17.5,110.2751448605284,201.01211034343302,35.05933613513963
481,6871.42855,18,18.5,131.48997460701642,203.3004361789337,36.250308297643016
481,6871.42855,19,19.5,164.65020156881835,193.91145765401532,28.559887305292936
482,6885.71428,0,0.5,174.00744005084152,201.7214659806599,72.18717354790626
482,6885.71428,1,1.5,154.17920432124288,210.5034846699029,61.899015670116434
482,6885.71428,2,2.5,133.40054699934853,221.20452509271482,66.31811828017912
482,6885.71428,3,3.5,131.7989103911527,219.018455354836,62.74396287957238
482,6885.71428,4,4.5,115.20789781200668,227.51348677594137,63.279329857443535
482,6885.71428,5,5.5,123.46147944280558,220.27938825006598,57.73935489470808
482,6885.71428,6,6.5,125.60547320811789,220.14556370126616,56.046793321469025
482,6885.71428,7,7.5,129.35517184352193,221.7977025133886,51.94804025681655
482,6885.71428,8,8.5,129.70822576173185,216.69605945489752,49.73140931954371
482,6885.71428,9,9.5,114.6574659776857,219.40932639940843,43.93722002630804
482,6885.71428,10,10.5,133.66866271080752,210.15265219877176,41.83671579315176
482,6885.71428,11,11.5,125.06825224948366,210.20139178742716,42.56621631619347
482,6885.71428,12,12.5,121.41464264563842,215.53260104898675,38.48442343906957
482,6885.71428,13,13.5,128.46833135393763,214.65678456904044,40.54700636380628
482,6885.71428,14,14.5,129.51345832838697,198.62662125926335,31.77605451193776
482,6885.71428,15,15.5,148.81472071679414,166.62846185497088,41.33750255484351
482,6885.71428,16,16.5,113.93622922577326,208.8394384051575,45.854653094430596
482,6885.71428,17,17.5,121.7777481688637,193.45885388547634,29.425231889660626
482,6885.71428,18,18.5,138.7996795741149,201.22624646007876,40.09984799206106
482,6885.71428,19,19.5,154.8439825493388,195.48646524948123,33.851919730795785
483,6900.0,0,0.5,172.44128732862936,193.58310917489516,73.37544344394324
483,6900.0,1,1.5,157.0411524403546,202.01707997314827,63.18242850188626
483,6900.0,2,2.5,132.873539670471,213.0714970659645,65.1656266617119
483,6900.0,3,3.5,127.7621598147687,217.94678746163527,64.11307242626009
483,6900.0,4,4.5,115.06827622639551,220.33264991160016,63.617136030240324
483,6900.0,5,5.5,129.17256211346412,217.62353443000296,59.092714097301034
483,6900.0,6,6.5,109.45302758079329,220.70007513188077,55.13172141519544
483,6900.0,7,7.5,130.98511935501813,214.7302662022099,50.72870847814588
483,6900.0,8,8.5,119.21844923600231,216.19045169346995,50.6035233662172
483,6900.0,9,9.5,129.0211761139937,209.23806377158502,44.9440357135757
483,6900.0,10,10.5,127.43192552072384,211.02930746514775,47.00210524631837
483,6900.0,11,11.5,126.92891028706528,206.44932034548424,39.340959332101896
483,6900.0,12,12.5,106.52244603543235,213.81184402282577,39.62529515221814
483,6900.0,13,13.5,127.11652979305615,206.51954737568485,35.35655881790691
483,6900.0,14,14.5,126.81535086890284,203.8457857834096,40.24480799964154
483,6900.0,15,15.5,133.13445972884838,192.61124139833925,38.839953151403435
483,6900.0,16,16.5,137.0477321023832,169.28852353164052,41.583004134088505
483,6900.0,17,17.5,106.96724722559941,214.08171472848449,41.604862207913044
483,6900.0,18,18.5,148.99593827062964,195.79007073999222,35.679643129553945
483,6900.0,19,19.5,128.2560151862989,218.6434490606799,29.87559227348571
484,6914.2857,0,0.5,174.73373104267122,190.64364330063663,74.61970883136709
484,6914.2857,1,1.5,151.54078769428602,200.2319915140799,63.71747931484911
484,6914.2857,2,2.5,143.03488188052475,205.66117236299988,64.05256758680491
484,6914.2857,3,3.5,128.27785721402756,212.60460364916528,63.148049012000065
484,6914.2857,4,4.5,116.29789810156733,216.29149069636455,62.796636070506224
484,6914.2857,5,5.5,116.42384753561628,219.09190006674288,58.719781816152036
484,6914.2857,6,6.5,114.98917506094809,216.89160518760073,56.81098165113492
484,6914.2857,7,7.5,117.90390328830622,211.87142369284567,51.899529572881136
484,6914.2857,8,8.5,123.82458717369464,206.69239541221108,49.27817549597664
484,6914.2857,9,9.5,122.52279404101688,206.81034553329863,46.2056169321361
484,6914.2857,10,10.5,133.27691588572506,207.79214485771234,44.633048028732055
484,6914.2857,11,11.5,115.58750661183969,208.93314581052164,39.94990780240216
484,6914.2857,12,12.5,113.05645221047823,207.51308710185782,38.88200957275985
484,6914.2857,13,13.5,121.68636261030265,200.02427739572676,35.665870573910425
484,6914.2857,14,14.5,134.25055207827015,196.42467252899644,37.70419243641741
