snapshot,snap_int,time_Myr,r_M31_M33,M31_enc,M33_total,JacobiR
336,336,4800.0,107.12896136110932,802225371739.9998,110929494260.00002,43.96905270996191
337,337,4814.2857,108.50344750786911,805606121859.9999,110780203780.00002,44.45084345244376
338,338,4828.57142,109.86275205143717,808839206780.0,110817526400.00002,44.95271163983105
339,339,4842.85712,110.47783852018941,805763787059.9999,110668235920.00003,45.24149185657682
340,340,4857.14284,111.8336329985631,809532723849.9999,110556268060.00002,45.710091295687086
341,341,4871.42857,113.25130457513966,811918621239.9999,110481622820.0,46.233743848140286
342,342,4885.71427,114.66463849437777,815679536989.9999,110593590680.00002,46.75445203747104
343,343,4899.99999,116.0527834378652,818528456279.9999,110518945440.00002,47.254867079236725
344,344,4914.28571,117.44132678982292,822527893499.9999,110295009720.00002,47.71035997909934
345,345,4928.57141,118.88288285626103,825522462209.9999,110071073999.99998,48.20485333687051
346,346,4942.85713,120.34867166957179,829135723279.9999,110033751380.0,48.72270595959057
347,347,4957.14286,121.73420435328589,829982910809.9999,109996428760.0,49.26128857866364
348,348,4971.42856,123.1147566889832,832601324409.9998,109735170420.00002,49.728232992841825
349,349,4985.71428,124.55120850909918,834522205159.9998,109361944220.0,50.21275563436589
350,350,4999.99998,125.98263437127953,836062920279.9999,109026040639.99998,50.70659476766702
351,351,5014.2857,127.44828285730615,839368840429.9999,108802104920.0,51.19396981854035
352,352,5028.57142,128.93880865322313,842980096239.9999,108503523959.99998,51.67127312458548
353,353,5042.85712,130.44536935541456,846751038289.9999,107943684659.99998,52.107371777272036
354,354,5057.14285,132.13123209227854,851670498270.0,107383845359.99998,52.58775151954336
355,355,5071.42857,133.7289801534892,856974134399.9999,107010619159.99998,53.052019630523475
356,356,5085.71427,135.33505755070328,861505407709.9999,106413457239.99998,53.49499629971061
357,357,5099.99999,136.97626764683022,865883010559.9999,105928263180.0,53.97005667387264
358,358,5114.28571,138.44853608752211,869419436399.9999,105555036980.0,54.41202746129752
359,359,5128.57141,140.19158046463613,872961872759.9999,104957875060.0,54.918481163984964
360,360,5142.85713,141.95163022210207,877191815669.9999,104286067900.0,55.399727241497075
361,361,5157.14286,143.8407247929712,881577439559.9999,103800873840.0,55.956693613186246
362,362,5171.42856,145.6903231982156,887036751409.9999,103390325020.0,56.48504387897646
363,363,5185.71428,147.67944719096064,892338382279.9999,102643872620.0,57.00477176574871
364,364,5199.99998,149.6536668165688,897646028929.9998,101972065460.0,57.52669156286406
365,365,5214.2857,151.5472971478002,903188186529.9999,101449548780.0,58.035734732034506
366,366,5228.57142,153.33741377423962,908875998809.9999,101150967820.00002,58.54097320744193
367,367,5242.85712,155.2009396329208,913182782209.9998,100367192800.0,59.00593575186872
368,368,5257.14285,156.89587520847007,917722071299.9999,99620740400.0,59.40382232015845
369,369,5271.42857,158.4497033741798,920795480499.9999,98948933239.99998,59.790301642408664
370,370,5285.71427,159.78545802557056,922338200879.9999,98613029659.99998,60.192440915698356
371,371,5299.99999,160.82545272734703,925490450569.9999,98053190360.0,60.40061765287418
372,372,5314.28571,161.77555907634272,927643842269.9998,97642641540.0,60.62554588434825
373,373,5328.57141,162.54228060549949,928414199829.9998,97232092719.99998,60.81055541280159
374,374,5342.85714,163.1672080792767,928798375980.0,96485640320.0,60.87934378962093
375,375,5357.14284,163.64539144939056,927496187589.9999,96111414120.0,61.00724201932221
376,376,5371.42856,163.98317953474518,926111148189.9998,95700865300.00002,61.07641749783867
377,377,5385.71428,164.2215753282751,923878915999.9999,95252993860.0,61.118789128914486
378,378,5399.99998,164.3511727795059,922107695189.9999,94805122420.0,61.110081266980224
379,379,5414.2857,164.28747722509942,918805785559.9999,94805122420.0,61.15948544073463
380,380,5428.57142,164.25725525190282,913350484229.9999,94357250980.0,61.173101739471356
381,381,5442.85712,164.23318652965256,909965723589.9999,94095992640.0,61.1833077123065
382,382,5457.14285,163.9680173382767,906961128579.9998,93834734300.0,61.095252627788575
383,383,5471.42857,163.7885703688857,903960544089.9999,93424185480.00002,61.00660753918415
384,384,5485.71427,163.4649525819514,900270447789.9999,93274895000.0,60.936650558055106
385,385,5499.99999,163.03843870715164,895888834419.9999,92976314040.0,60.81155043864394
386,386,5514.28571,162.54488154839459,891586061539.9999,92603087840.00002,60.64346845599454
387,387,5528.57141,162.00545475080807,886361265899.9998,92155216400.00002,60.46295339569713
388,388,5542.85714,161.37404141362512,880899954049.9998,91968603300.0,60.310742913613915
389,389,5557.14284,160.6968859633936,876287834989.9998,91968603300.0,60.162849624801126
390,390,5571.42856,159.94098554158543,872983920099.9999,91856635440.0,59.93095511533994
391,391,5585.71428,159.11359511349127,868369795779.9999,91670022340.00002,59.68586597518679
392,392,5599.99998,158.2336438599161,862906473409.9999,91520731860.00002,59.4484793079289
393,393,5614.2857,157.25185417692484,858909036189.9999,91408764000.00002,59.14699224398781
394,394,5628.57143,156.08721311349123,853829889969.9999,91371441380.0,58.81711276640624
395,395,5642.85713,154.45052587816122,845222338949.9999,91222150900.00002,58.36545021446394
396,396,5657.14285,153.51319633070884,841071231269.9999,91222150900.00002,58.106523489181434
