# snap  time[Myr]  R_bin(kpc)  warp[deg]  h_z[kpc]
422    6028.57  301.60     nan      nan
422    6028.57  337.08     nan      nan
423    6042.86   17.73   83.21    3.542
423    6042.86   53.19  123.44   21.894
423    6042.86   88.65  143.17   34.247
423    6042.86  124.11  138.35   32.163
423    6042.86  159.57  169.41   29.135
423    6042.86  195.02     nan      nan
423    6042.86  230.48     nan      nan
423    6042.86  265.94     nan      nan
423    6042.86  301.40     nan      nan
423    6042.86  336.86     nan      nan
424    6057.14   17.72   82.50    3.563
424    6057.14   53.16  126.90   22.766
424    6057.14   88.59  138.59   32.902
424    6057.14  124.03  142.24   32.609
424    6057.14  159.47  169.64   30.848
424    6057.14  194.91     nan      nan
424    6057.14  230.35     nan      nan
424    6057.14  265.78     nan      nan
424    6057.14  301.22     nan      nan
424    6057.14  336.66     nan      nan
425    6071.43   17.70   81.29    3.571
425    6071.43   53.09  130.24   23.757
425    6071.43   88.48  140.82   32.644
425    6071.43  123.87  141.12   34.294
425    6071.43  159.26  168.04   31.727
425    6071.43  194.66     nan      nan
425    6071.43  230.05     nan      nan
425    6071.43  265.44     nan      nan
425    6071.43  300.83     nan      nan
425    6071.43  336.22     nan      nan
426    6085.71   17.67   79.99    3.560
426    6085.71   53.02  132.97   23.348
426    6085.71   88.37  140.11   32.408
426    6085.71  123.72  134.99   34.359
426    6085.71  159.07  167.51   32.267
426    6085.71  194.41     nan      nan
426    6085.71  229.76     nan      nan
426    6085.71  265.11     nan      nan
426    6085.71  300.46     nan      nan
426    6085.71  335.81     nan      nan
427    6100.00   17.65   79.49    3.567
427    6100.00   52.94  135.03   23.628
427    6100.00   88.23  142.97   33.769
427    6100.00  123.52  125.66   36.626
427    6100.00  158.81  165.50   32.163
427    6100.00  194.10  156.89   40.566
427    6100.00  229.40     nan      nan
427    6100.00  264.69     nan      nan
427    6100.00  299.98     nan      nan
427    6100.00  335.27     nan      nan
428    6114.29   17.61   78.84    3.557
428    6114.29   52.82  131.70   21.364
428    6114.29   88.03  144.28   35.095
428    6114.29  123.24  126.84   37.177
428    6114.29  158.45  164.50   32.343
428    6114.29  193.67  156.06   40.090
428    6114.29  228.88     nan      nan
428    6114.29  264.09     nan      nan
428    6114.29  299.30     nan      nan
428    6114.29  334.51     nan      nan
429    6128.57   17.57   78.59    3.557
429    6128.57   52.70  131.37   20.065
429    6128.57   87.84  141.76   33.273
429    6128.57  122.98  133.92   38.836
429    6128.57  158.11  164.85   31.297
429    6128.57  193.25  156.02   40.176
429    6128.57  228.39     nan      nan
429    6128.57  263.52     nan      nan
429    6128.57  298.66     nan      nan
429    6128.57  333.80     nan      nan
430    6142.86   17.52   78.24    3.545
430    6142.86   52.56  134.23   19.871
430    6142.86   87.60  146.43   34.606
430    6142.86  122.64  127.14   38.802
430    6142.86  157.68  155.24   32.345
430    6142.86  192.72  157.16   36.833
430    6142.86  227.76     nan      nan
430    6142.86  262.79     nan      nan
430    6142.86  297.83     nan      nan
430    6142.86  332.87     nan      nan
431    6157.14   17.45   77.31    3.520
431    6157.14   52.34  134.46   20.006
431    6157.14   87.24  142.95   32.157
431    6157.14  122.14  133.36   38.145
431    6157.14  157.03  155.70   38.784
431    6157.14  191.93  156.01   35.652
431    6157.14  226.82     nan      nan
431    6157.14  261.72     nan      nan
431    6157.14  296.61     nan      nan
431    6157.14  331.51     nan      nan
432    6171.43   17.37   76.72    3.527
432    6171.43   52.11  136.93   19.149
432    6171.43   86.85  139.76   31.342
432    6171.43  121.59  132.53   38.639
432    6171.43  156.33  156.41   35.069
432    6171.43  191.07  155.08   33.948
432    6171.43  225.81     nan      nan
432    6171.43  260.55     nan      nan
432    6171.43  295.28     nan      nan
432    6171.43  330.02     nan      nan
433    6185.71   17.28   76.17    3.543
433    6185.71   51.83  134.37   17.906
433    6185.71   86.38  134.80   30.330
433    6185.71  120.93  134.95   39.091
433    6185.71  155.48  158.29   34.204
433    6185.71  190.03  154.57   31.228
433    6185.71  224.58     nan      nan
433    6185.71  259.13     nan      nan
433    6185.71  293.69     nan      nan
433    6185.71  328.24     nan      nan
434    6200.00   17.19   75.70    3.545
434    6200.00   51.57  135.84   16.922
434    6200.00   85.94  134.41   30.537
434    6200.00  120.32  135.63   38.901
434    6200.00  154.70  161.89   33.400
434    6200.00  189.07  153.10   29.561
434    6200.00  223.45     nan      nan
434    6200.00  257.83     nan      nan
434    6200.00  292.21     nan      nan
434    6200.00  326.58     nan      nan
435    6214.29   17.12   74.86    3.557
435    6214.29   51.36  130.02   16.895
435    6214.29   85.60  130.36   30.521
435    6214.29  119.84  137.54   38.425
435    6214.29  154.08  162.63   34.442
435    6214.29  188.32  151.83   27.812
435    6214.29  222.56     nan      nan
435    6214.29  256.80     nan      nan
435    6214.29  291.04     nan      nan
435    6214.29  325.28     nan      nan
436    6228.57   16.95   72.80    3.568
436    6228.57   50.86  129.66   16.077
436    6228.57   84.77  129.86   32.138
436    6228.57  118.68  140.53   37.321
436    6228.57  152.59  162.74   34.117
436    6228.57  186.50  151.66   25.297
436    6228.57  220.41     nan      nan
436    6228.57  254.32     nan      nan
436    6228.57  288.23     nan      nan
436    6228.57  322.13     nan      nan
437    6242.86   16.83   72.22    3.559
437    6242.86   50.49  132.27   15.723
437    6242.86   84.16  123.80   33.025
437    6242.86  117.82  143.63   35.985
437    6242.86  151.48  160.74   33.363
437    6242.86  185.14  147.99   21.744
437    6242.86  218.80  146.51   32.621
437    6242.86  252.47     nan      nan
437    6242.86  286.13     nan      nan
437    6242.86  319.79     nan      nan
438    6257.14   16.67   71.62    3.568
438    6257.14   50.00  136.85   16.085
438    6257.14   83.34  122.99   31.144
438    6257.14  116.67  140.75   34.285
438    6257.14  150.01  160.23   35.153
438    6257.14  183.34  148.02   27.227
438    6257.14  216.68  144.37   30.316
438    6257.14  250.01     nan      nan
438    6257.14  283.35     nan      nan
438    6257.14  316.68     nan      nan
439    6271.43   16.52   71.79    3.563
439    6271.43   49.57  135.47   16.056
439    6271.43   82.62  100.90   31.549
439    6271.43  115.67  147.58   32.563
439    6271.43  148.72  156.80   34.156
439    6271.43  181.77  146.43   24.762
439    6271.43  214.82  142.34   27.546
439    6271.43  247.87     nan      nan
439    6271.43  280.92     nan      nan
439    6271.43  313.97     nan      nan
440    6285.71   16.39   71.93    3.549
440    6285.71   49.18  136.00   16.038
440    6285.71   81.96   91.95   30.722
440    6285.71  114.75  149.80   31.568
440    6285.71  147.53  155.08   35.040
440    6285.71  180.32  146.01   23.603
440    6285.71  213.10  143.02   25.321
440    6285.71  245.89     nan      nan
440    6285.71  278.67     nan      nan
440    6285.71  311.46     nan      nan
441    6300.00   16.23   71.39    3.535
441    6300.00   48.68  132.85   17.182
441    6300.00   81.14   85.53   29.500
441    6300.00  113.60  151.62   31.162
441    6300.00  146.05  153.57   34.243
441    6300.00  178.51  147.03   23.603
441    6300.00  210.97  142.74   20.105
441    6300.00  243.42     nan      nan
441    6300.00  275.88     nan      nan
441    6300.00  308.34     nan      nan
442    6314.29   16.12   71.21    3.549
442    6314.29   48.36  132.35   16.987
442    6314.29   80.59   88.44   28.707
442    6314.29  112.83  152.38   31.634
442    6314.29  145.07  151.19   34.214
442    6314.29  177.31  149.86   27.903
442    6314.29  209.54  142.24   18.807
442    6314.29  241.78     nan      nan
442    6314.29  274.02     nan      nan
442    6314.29  306.26     nan      nan
443    6328.57   16.00   70.67    3.559
443    6328.57   47.99  130.79   18.223
443    6328.57   79.98   90.10   28.457
443    6328.57  111.97  151.33   31.368
443    6328.57  143.96  151.83   34.193
443    6328.57  175.95  151.56   27.166
443    6328.57  207.94  142.26   18.949
443    6328.57  239.94     nan      nan
443    6328.57  271.93     nan      nan
443    6328.57  303.92     nan      nan
444    6342.86   15.87   70.29    3.570
444    6342.86   47.61  122.56   20.122
444    6342.86   79.35   96.96   26.712
444    6342.86  111.09  146.85   31.636
444    6342.86  142.83  153.70   34.416
444    6342.86  174.57  151.74   23.298
444    6342.86  206.31  142.43   23.985
444    6342.86  238.05     nan      nan
444    6342.86  269.79     nan      nan
444    6342.86  301.53     nan      nan
445    6357.14   15.78   70.44    3.576
445    6357.14   47.33  117.84   21.665
445    6357.14   78.88   98.31   25.997
445    6357.14  110.43  147.54   32.431
445    6357.14  141.98  154.96   31.957
445    6357.14  173.53  151.29   30.228
445    6357.14  205.08  142.39   24.084
445    6357.14  236.63     nan      nan
445    6357.14  268.18     nan      nan
445    6357.14  299.74     nan      nan
446    6371.43   15.66   69.92    3.624
446    6371.43   46.97  107.77   23.605
446    6371.43   78.29  115.05   22.945
446    6371.43  109.60  145.70   33.296
446    6371.43  140.92  154.92   31.865
446    6371.43  172.23  151.91   30.382
446    6371.43  203.55  141.67   24.336
446    6371.43  234.87     nan      nan
446    6371.43  266.18     nan      nan
446    6371.43  297.50     nan      nan
447    6385.71   15.45   68.94    3.605
447    6385.71   46.34   98.36   23.579
447    6385.71   77.23  127.27   20.243
447    6385.71  108.12  141.68   33.886
447    6385.71  139.01  153.71   27.909
447    6385.71  169.90  150.46   33.340
447    6385.71  200.79  139.70   22.820
447    6385.71  231.68     nan      nan
447    6385.71  262.57     nan      nan
447    6385.71  293.46     nan      nan
448    6400.00   15.30   68.85    3.593
448    6400.00   45.89   99.36   23.241
448    6400.00   76.48  125.07   20.327
448    6400.00  107.07  141.38   33.940
448    6400.00  137.66  153.49   28.576
448    6400.00  168.26  148.84   32.000
448    6400.00  198.85  140.04   25.683
448    6400.00  229.44     nan      nan
448    6400.00  260.03     nan      nan
448    6400.00  290.62     nan      nan
449    6414.29   15.13   68.97    3.633
449    6414.29   45.40   97.93   22.198
449    6414.29   75.66  136.75   20.274
449    6414.29  105.93  137.07   35.880
449    6414.29  136.19  152.57   26.732
449    6414.29  166.45  147.13   32.670
449    6414.29  196.72  141.63   22.968
449    6414.29  226.98  137.91   26.508
449    6414.29  257.25     nan      nan
449    6414.29  287.51     nan      nan
450    6428.57   15.01   68.10    3.693
450    6428.57   45.03  100.08   20.927
450    6428.57   75.05  135.38   20.226
450    6428.57  105.06  139.53   36.967
450    6428.57  135.08  151.26   25.271
450    6428.57  165.10  146.55   31.064
450    6428.57  195.12  142.35   24.485
450    6428.57  225.14  137.44   25.805
450    6428.57  255.15     nan      nan
450    6428.57  285.17     nan      nan
451    6442.86   15.08   67.05    3.755
451    6442.86   45.24  103.98   19.792
451    6442.86   75.40  140.20   20.055
451    6442.86  105.56  135.12   37.789
451    6442.86  135.72  149.98   24.817
451    6442.86  165.88  145.54   30.319
451    6442.86  196.04  142.20   26.356
451    6442.86  226.20  136.29   26.879
451    6442.86  256.36     nan      nan
451    6442.86  286.52     nan      nan
452    6457.14   15.16   65.09    3.825
452    6457.14   45.49  121.36   18.933
452    6457.14   75.81  142.41   24.298
452    6457.14  106.14  136.89   32.472
452    6457.14  136.47  149.02   24.843
452    6457.14  166.79  145.64   27.822
452    6457.14  197.12  141.36   29.906
452    6457.14  227.44  135.60   28.785
452    6457.14  257.77     nan      nan
452    6457.14  288.09     nan      nan
453    6471.43   15.25   63.51    3.882
453    6471.43   45.76  128.85   17.707
453    6471.43   76.26  144.56   24.131
453    6471.43  106.77  138.15   33.809
453    6471.43  137.28  148.03   23.635
453    6471.43  167.78  144.40   27.735
453    6471.43  198.29  139.60   30.441
453    6471.43  228.79  134.83   28.833
453    6471.43  259.30     nan      nan
453    6471.43  289.80     nan      nan
454    6485.71   15.32   61.66    3.903
454    6485.71   45.95  134.17   17.040
454    6485.71   76.58  145.40   23.530
454    6485.71  107.21  136.74   33.354
454    6485.71  137.85  147.43   25.269
454    6485.71  168.48  143.12   25.420
454    6485.71  199.11  138.09   32.313
454    6485.71  229.74  134.25   31.840
454    6485.71  260.37     nan      nan
454    6485.71  291.01     nan      nan
455    6500.00   15.39   61.46    3.904
455    6500.00   46.17  138.39   16.743
455    6500.00   76.96  144.55   23.883
455    6500.00  107.74  138.80   33.837
455    6500.00  138.52  146.92   25.194
455    6500.00  169.31  142.04   24.747
455    6500.00  200.09  137.13   32.425
455    6500.00  230.87  133.73   32.180
455    6500.00  261.66     nan      nan
455    6500.00  292.44     nan      nan
456    6514.29   15.46   61.40    3.914
456    6514.29   46.38  138.99   16.450
456    6514.29   77.30  145.18   23.826
456    6514.29  108.22  138.70   33.363
456    6514.29  139.13  146.13   25.255
456    6514.29  170.05  141.16   25.339
456    6514.29  200.97  135.40   32.225
456    6514.29  231.89  132.78   28.532
456    6514.29  262.81     nan      nan
456    6514.29  293.73     nan      nan
457    6528.57   15.52   62.59    3.862
457    6528.57   46.56  139.08   17.808
457    6528.57   77.60  144.71   24.308
457    6528.57  108.64  138.46   33.536
457    6528.57  139.68  145.57   25.432
457    6528.57  170.73  140.37   23.957
457    6528.57  201.77  134.56   33.067
457    6528.57  232.81  131.97   28.757
457    6528.57  263.85     nan      nan
457    6528.57  294.89     nan      nan
458    6542.86   15.60   63.83    3.869
458    6542.86   46.79  139.92   17.403
458    6542.86   77.98  145.17   24.754
458    6542.86  109.17  140.58   33.329
458    6542.86  140.36  145.25   25.521
458    6542.86  171.55  140.03   22.753
458    6542.86  202.74  133.00   33.810
458    6542.86  233.93  131.79   28.618
458    6542.86  265.12  130.82   64.453
458    6542.86  296.31     nan      nan
459    6557.14   15.66   64.32    3.790
459    6557.14   46.98  140.31   18.357
459    6557.14   78.30  145.27   25.099
459    6557.14  109.63  140.48   33.130
459    6557.14  140.95  144.72   23.793
459    6557.14  172.27  139.64   24.960
459    6557.14  203.59  132.35   33.332
459    6557.14  234.91  131.49   32.349
459    6557.14  266.24  130.62   64.987
459    6557.14  297.56     nan      nan
460    6571.43   15.71   67.51    3.713
460    6571.43   47.13  131.69   18.343
460    6571.43   78.54  145.38   25.264
460    6571.43  109.96  138.77   32.787
460    6571.43  141.38  143.46   23.672
460    6571.43  172.79  138.96   22.902
460    6571.43  204.21  131.35   33.819
460    6571.43  235.63  131.11   33.234
460    6571.43  267.05  130.32   65.739
460    6571.43  298.46     nan      nan
461    6585.71   15.77   70.44    3.493
461    6585.71   47.30  119.38   22.979
461    6585.71   78.84  145.05   26.021
461    6585.71  110.37  139.47   26.701
461    6585.71  141.91  142.59   22.716
461    6585.71  173.44  139.38   21.545
461    6585.71  204.98  130.16   35.939
461    6585.71  236.51  131.19   31.677
461    6585.71  268.05  130.16   66.236
461    6585.71  299.58     nan      nan
462    6600.00   15.82   70.95    3.438
462    6600.00   47.46  122.14   22.370
462    6600.00   79.10  144.71   28.388
462    6600.00  110.73  139.91   24.062
462    6600.00  142.37  141.36   22.210
462    6600.00  174.01  139.20   19.664
462    6600.00  205.65  130.03   32.623
462    6600.00  237.29  130.12   38.155
462    6600.00  268.92  130.11   63.851
462    6600.00  300.56     nan      nan
463    6614.29   15.87   72.21    3.303
463    6614.29   47.62  125.45   23.046
463    6614.29   79.37  144.27   29.575
463    6614.29  111.12  139.90   22.510
463    6614.29  142.87  140.53   21.477
463    6614.29  174.61  138.77   19.366
463    6614.29  206.36  130.10   31.398
463    6614.29  238.11  129.83   37.539
463    6614.29  269.86  129.74   67.261
463    6614.29  301.61     nan      nan
464    6628.57   15.94   73.53    3.254
464    6628.57   47.81  127.32   22.931
464    6628.57   79.69  143.97   29.629
464    6628.57  111.56  139.84   22.763
464    6628.57  143.43  138.63   21.920
464    6628.57  175.31  137.91   19.405
464    6628.57  207.18  130.29   31.364
464    6628.57  239.06  130.00   48.478
464    6628.57  270.93  130.02   40.979
464    6628.57  302.81     nan      nan
465    6642.86   15.98   73.90    3.150
465    6642.86   47.94  132.86   22.968
465    6642.86   79.91  142.15   28.934
465    6642.86  111.87  139.56   24.845
465    6642.86  143.83  137.68   19.018
465    6642.86  175.79  137.76   21.112
465    6642.86  207.76  130.91   30.347
465    6642.86  239.72  129.89   47.675
465    6642.86  271.68  129.80   39.161
465    6642.86  303.64     nan      nan
466    6657.14   16.04   75.01    3.035
466    6657.14   48.12  138.28   22.298
466    6657.14   80.21  139.69   29.548
466    6657.14  112.29  141.64   24.202
466    6657.14  144.37  137.08   17.569
466    6657.14  176.46  138.77   22.204
466    6657.14  208.54  130.97   31.156
466    6657.14  240.62  130.10   45.402
466    6657.14  272.71  129.51   39.159
466    6657.14  304.79     nan      nan
467    6671.43   16.08   75.47    2.949
467    6671.43   48.23  140.40   22.534
467    6671.43   80.38  137.46   29.773
467    6671.43  112.54  141.43   22.450
467    6671.43  144.69  137.14   17.667
467    6671.43  176.85  138.21   22.472
467    6671.43  209.00  131.76   30.256
467    6671.43  241.15  129.74   44.783
467    6671.43  273.31  129.71   37.723
467    6671.43  305.46     nan      nan
468    6685.71   16.12   76.12    2.900
468    6685.71   48.35  140.92   21.207
468    6685.71   80.58  137.06   29.780
468    6685.71  112.81  141.95   22.506
468    6685.71  145.04  138.04   17.847
468    6685.71  177.27  138.37   21.431
468    6685.71  209.50  131.61   30.911
468    6685.71  241.73  129.90   44.041
468    6685.71  273.96  129.25   39.321
468    6685.71  306.19     nan      nan
469    6700.00   16.15   77.07    2.871
469    6700.00   48.45  140.46   25.235
469    6700.00   80.75  137.87   26.492
469    6700.00  113.05  141.69   22.878
469    6700.00  145.35  141.02   17.812
469    6700.00  177.65  138.92   19.454
469    6700.00  209.95  132.16   31.798
469    6700.00  242.25  129.56   44.710
469    6700.00  274.55  129.17   38.543
469    6700.00  306.85  130.03   38.431
470    6714.29   16.25   77.19    2.828
470    6714.29   48.76  143.95   25.039
470    6714.29   81.26  138.08   25.941
470    6714.29  113.77  142.20   23.449
470    6714.29  146.27  142.27   17.884
470    6714.29  178.78  138.64   19.153
470    6714.29  211.28  132.43   31.760
470    6714.29  243.79  128.94   44.041
470    6714.29  276.30  129.28   41.162
470    6714.29  308.80  129.64   37.250
471    6728.57   16.52   77.81    2.807
471    6728.57   49.56  143.14   24.309
471    6728.57   82.61  140.43   25.392
471    6728.57  115.65  142.38   25.806
471    6728.57  148.69  145.53   18.286
471    6728.57  181.74  138.44   19.066
471    6728.57  214.78  132.84   41.068
471    6728.57  247.82  128.58   34.538
471    6728.57  280.87  128.34   42.055
471    6728.57  313.91     nan      nan
472    6742.86   16.79   78.97    2.804
472    6742.86   50.36  144.22   23.624
472    6742.86   83.94  140.33   26.987
472    6742.86  117.51  142.71   25.140
472    6742.86  151.09  144.61   18.297
472    6742.86  184.66  138.36   18.966
472    6742.86  218.24  133.31   39.925
472    6742.86  251.82  127.76   35.863
472    6742.86  285.39  128.47   44.041
472    6742.86  318.97     nan      nan
473    6757.14   17.05   80.36    2.808
473    6757.14   51.15  144.99   24.405
473    6757.14   85.24  141.41   26.865
473    6757.14  119.34  142.70   24.976
473    6757.14  153.44  144.19   17.657
473    6757.14  187.54  138.33   18.857
473    6757.14  221.64  133.26   39.849
473    6757.14  255.73  127.46   36.553
473    6757.14  289.83  128.02   44.437
473    6757.14  323.93     nan      nan
474    6771.43   17.31   81.01    2.808
474    6771.43   51.92  143.19   25.628
474    6771.43   86.53  143.69   25.451
474    6771.43  121.14  140.55   24.399
474    6771.43  155.75  143.07   22.608
474    6771.43  190.36  138.12   18.761
474    6771.43  224.97  133.09   39.858
474    6771.43  259.58  126.84   37.085
474    6771.43  294.19  128.22   44.304
474    6771.43  328.80     nan      nan
475    6785.71   17.55   82.35    3.171
475    6785.71   52.66  145.33   21.524
475    6785.71   87.77  145.21   24.125
475    6785.71  122.88  137.23   26.527
475    6785.71  157.99  142.05   21.297
475    6785.71  193.10  138.14   18.644
475    6785.71  228.21  133.06   39.727
475    6785.71  263.32  126.81   37.031
475    6785.71  298.42  127.30   45.297
475    6785.71  333.53     nan      nan
476    6800.00   17.80   83.56    3.170
476    6800.00   53.39  143.84   23.246
476    6800.00   88.98  146.75   21.687
476    6800.00  124.57  131.40   26.906
476    6800.00  160.16  141.14   23.657
476    6800.00  195.75  138.31   29.520
476    6800.00  231.34  132.51   31.420
476    6800.00  266.93  126.65   37.965
476    6800.00  302.52  126.72   45.146
476    6800.00  338.11     nan      nan
477    6814.29   18.03   85.22    3.177
477    6814.29   54.10  142.45   23.170
477    6814.29   90.17  147.58   21.638
477    6814.29  126.24  129.07   26.431
477    6814.29  162.30  140.86   23.587
477    6814.29  198.37  137.87   29.990
477    6814.29  234.44  132.40   32.419
477    6814.29  270.51  126.39   38.556
477    6814.29  306.57  126.21   44.915
477    6814.29  342.64     nan      nan
478    6828.57   18.25   86.14    3.181
478    6828.57   54.76  144.54   22.843
478    6828.57   91.26  147.84   20.848
478    6828.57  127.76  128.32   26.894
478    6828.57  164.27  140.45   24.419
478    6828.57  200.77  137.90   29.539
478    6828.57  237.27  132.40   32.718
478    6828.57  273.78  126.17   39.343
478    6828.57  310.28  125.83   45.162
478    6828.57  346.78     nan      nan
479    6842.86   18.47   87.48    3.188
479    6842.86   55.40  145.41   20.165
479    6842.86   92.34  148.94   23.222
479    6842.86  129.27  129.38   26.509
479    6842.86  166.21  138.23   30.405
479    6842.86  203.14  137.72   29.330
479    6842.86  240.08  132.43   32.620
479    6842.86  277.01  126.05   40.501
479    6842.86  313.95  125.37   44.391
479    6842.86  350.88     nan      nan
480    6857.14   18.68   88.88    3.203
480    6857.14   56.04  147.31   20.517
480    6857.14   93.41  149.26   23.059
480    6857.14  130.77  131.45   25.727
480    6857.14  168.13  136.40   32.508
480    6857.14  205.50  137.55   29.014
480    6857.14  242.86  132.27   32.855
480    6857.14  280.22  125.43   40.355
480    6857.14  317.59  125.32   45.962
480    6857.14  354.95     nan      nan
481    6871.43   18.88   89.55    3.263
481    6871.43   56.64  149.78   20.738
481    6871.43   94.40  148.61   23.313
481    6871.43  132.16  132.39   25.936
481    6871.43  169.91  135.36   32.148
481    6871.43  207.67  137.41   28.854
481    6871.43  245.43  132.18   32.929
481    6871.43  283.19  124.92   41.325
481    6871.43  320.95  125.72   45.331
481    6871.43  358.71     nan      nan
482    6885.71   19.06   90.94    3.297
482    6885.71   57.19  150.38   20.853
482    6885.71   95.32  148.80   23.589
482    6885.71  133.44  132.22   26.025
482    6885.71  171.57  135.49   31.893
482    6885.71  209.70  137.29   28.562
482    6885.71  247.83  131.52   35.021
482    6885.71  285.95  124.56   41.773
482    6885.71  324.08  126.08   45.448
482    6885.71  362.21     nan      nan
483    6900.00   19.24   92.31    3.339
483    6900.00   57.73  152.07   20.764
483    6900.00   96.22  146.53   24.430
483    6900.00  134.71  133.52   26.000
483    6900.00  173.20  135.59   36.811
483    6900.00  211.68  136.11   15.521
483    6900.00  250.17  131.95   36.267
483    6900.00  288.66  124.14   42.365
483    6900.00  327.15  126.07   45.839
483    6900.00  365.64     nan      nan
484    6914.29   19.42   93.69    3.544
484    6914.29   58.26  153.18   19.790
484    6914.29   97.11  144.98   24.022
484    6914.29  135.95  133.29   26.780
484    6914.29  174.79  135.34   36.099
484    6914.29  213.63  135.90   15.418
484    6914.29  252.48  131.42   36.309
484    6914.29  291.32  123.40   43.850
484    6914.29  330.16  126.59   44.603
484    6914.29  369.00     nan      nan
485    6928.57   19.59   95.21    3.731
485    6928.57   58.77  154.76   18.569
485    6928.57   97.95  143.61   23.714
485    6928.57  137.14  133.78   27.233
485    6928.57  176.32  134.88   35.224
485    6928.57  215.50  135.71   15.263
485    6928.57  254.68  130.59   38.227
485    6928.57  293.86  122.58   43.214
485    6928.57  333.04  127.53   46.729
485    6928.57  372.23     nan      nan
486    6942.86   19.76   97.19    3.779
486    6942.86   59.27  154.76   18.953
486    6942.86   98.78  141.15   22.995
486    6942.86  138.29  134.22   28.139
486    6942.86  177.80  134.45   34.944
486    6942.86  217.31  135.50   15.145
486    6942.86  256.82  128.80   44.623
486    6942.86  296.33  123.12   42.359
486    6942.86  335.84  127.37   46.977
486    6942.86  375.35     nan      nan
487    6957.14   19.90   98.08    3.774
487    6957.14   59.71  155.12   19.045
487    6957.14   99.52  140.31   23.105
487    6957.14  139.33  136.13   26.009
487    6957.14  179.14  133.72   35.277
487    6957.14  218.95  135.34   18.149
487    6957.14  258.76  128.56   44.299
487    6957.14  298.57  122.90   42.376
487    6957.14  338.38  127.37   47.102
487    6957.14  378.18     nan      nan
488    6971.43   20.04   99.24    3.846
488    6971.43   60.13  155.09   18.868
488    6971.43  100.22  139.78   22.973
488    6971.43  140.31  136.07   26.121
488    6971.43  180.40  134.09   34.007
488    6971.43  220.49  134.89   22.988
488    6971.43  260.58  128.31   44.514
488    6971.43  300.67  123.15   42.736
488    6971.43  340.76  127.49   47.122
488    6971.43  380.85     nan      nan
489    6985.71   20.18  102.31    3.608
489    6985.71   60.55  154.13   22.412
489    6985.71  100.91  139.84   22.907
489    6985.71  141.27  135.98   25.980
489    6985.71  181.64  134.01   33.805
489    6985.71  222.00  134.77   22.906
489    6985.71  262.37  128.18   44.985
489    6985.71  302.73  122.69   44.479
489    6985.71  343.10  128.25   42.464
489    6985.71  383.46     nan      nan
490    7000.00   20.31  103.39    3.689
490    7000.00   60.94  152.69   22.264
490    7000.00  101.56  140.32   14.364
490    7000.00  142.19  134.23   34.637
490    7000.00  182.81  133.93   33.591
490    7000.00  223.44  134.64   22.822
490    7000.00  264.06  128.06   45.447
490    7000.00  304.69  122.54   44.883
490    7000.00  345.31  128.18   42.536
490    7000.00  385.94     nan      nan
491    7014.29   20.43  104.45    3.796
491    7014.29   61.29  151.44   21.960
491    7014.29  102.15  140.24   14.135
491    7014.29  143.00  135.43   34.164
491    7014.29  183.86  133.47   33.569
491    7014.29  224.72  134.56   22.399
491    7014.29  265.58  127.25   48.040
491    7014.29  306.44  122.92   44.700
491    7014.29  347.30  128.18   42.583
491    7014.29  388.15     nan      nan
492    7028.57   20.55  105.72    3.854
492    7028.57   61.64  150.34   21.994
492    7028.57  102.73  140.10   13.781
492    7028.57  143.82  137.65   38.098
492    7028.57  184.92  132.72   30.799
492    7028.57  226.01  134.51   22.294
492    7028.57  267.10  127.52   47.962
492    7028.57  308.19  122.65   45.069
492    7028.57  349.29  128.16   42.640
492    7028.57  390.38     nan      nan
493    7042.86   20.66  106.44    3.932
493    7042.86   61.98  148.94   21.851
493    7042.86  103.30  140.02   13.475
493    7042.86  144.62  137.27   38.391
493    7042.86  185.94  132.76   30.466
493    7042.86  227.25  133.53   27.512
493    7042.86  268.57  126.60   51.440
493    7042.86  309.89  123.02   43.553
493    7042.86  351.21  128.04   42.704
493    7042.86  392.53     nan      nan
494    7057.14   20.77  106.92    3.967
494    7057.14   62.31  146.38   21.797
494    7057.14  103.84  139.98   13.397
494    7057.14  145.38  137.63   36.712
494    7057.14  186.92  132.31   30.678
494    7057.14  228.46  133.27   27.688
494    7057.14  270.00  125.72   51.817
494    7057.14  311.53  123.03   44.735
494    7057.14  353.07  127.78   42.803
494    7057.14  394.61     nan      nan
495    7071.43   20.86  108.03    4.165
495    7071.43   62.59  142.47   20.815
495    7071.43  104.32  140.00   12.529
495    7071.43  146.05  137.42   36.447
495    7071.43  187.78  132.34   30.330
495    7071.43  229.51  133.43   27.567
495    7071.43  271.24  126.01   51.701
495    7071.43  312.97  123.34   44.673
495    7071.43  354.70  128.05   42.750
495    7071.43  396.43     nan      nan
496    7085.71   20.96  108.45    4.268
496    7085.71   62.87  141.22   20.339
496    7085.71  104.79  139.89   12.083
496    7085.71  146.71  137.27   36.103
496    7085.71  188.62  132.42   29.602
496    7085.71  230.54  133.46   28.371
496    7085.71  272.45  126.12   51.863
496    7085.71  314.37  123.62   44.938
496    7085.71  356.29  127.70   43.489
496    7085.71  398.20     nan      nan
497    7100.00   21.05  108.92    4.312
497    7100.00   63.16  140.36   20.036
497    7100.00  105.26  139.01   11.398
497    7100.00  147.36  137.88   35.050
497    7100.00  189.47  132.61   27.768
497    7100.00  231.57  132.43   32.650
497    7100.00  273.67  125.13   54.064
497    7100.00  315.78  124.01   44.360
497    7100.00  357.88  127.51   43.545
